datetime,Vout,Iout,Pout,t
'2022/8/12/10:54.54',25.456,0.001,0.025,1
'2022/8/12/10:54.55',25.454,0.003,0.076,2
'2022/8/12/10:54.56',25.455,0,0,3
'2022/8/12/10:54.57',25.453,0,0,4
'2022/8/12/10:54.58',25.455,0.001,0.025,5
'2022/8/12/10:54.59',25.456,0.001,0.025,6
'2022/8/12/10:55.0',25.454,0.001,0.025,7
'2022/8/12/10:55.1',25.455,0.003,0.076,8
'2022/8/12/10:55.2',25.456,0.003,0.076,9
'2022/8/12/10:55.3',25.454,0.001,0.025,10
'2022/8/12/10:55.4',25.453,0.001,0.025,11
'2022/8/12/10:55.5',25.455,0.003,0.076,12
'2022/8/12/10:55.6',25.455,0.003,0.076,13
'2022/8/12/10:55.7',25.453,0.004,0.102,14
'2022/8/12/10:55.8',25.455,0.003,0.076,15
'2022/8/12/10:55.9',25.456,0.003,0.076,16
'2022/8/12/10:55.10',25.455,0.004,0.102,17
'2022/8/12/10:55.11',25.459,0.003,0.076,18
'2022/8/12/10:55.12',25.454,0.003,0.076,19
'2022/8/12/10:55.13',25.453,0.001,0.025,20
'2022/8/12/10:55.15',25.455,0.001,0.025,21
'2022/8/12/10:55.16',25.455,0.003,0.076,22
'2022/8/12/10:55.17',25.455,0.003,0.076,23
'2022/8/12/10:55.18',25.454,0.001,0.025,24
'2022/8/12/10:55.19',25.456,0.003,0.076,25
'2022/8/12/10:55.20',25.457,0.003,0.076,26
'2022/8/12/10:55.21',25.454,0.001,0.025,27
'2022/8/12/10:55.22',25.453,0.001,0.025,28
'2022/8/12/10:55.23',25.454,0.003,0.076,29
'2022/8/12/10:55.24',25.455,0.003,0.076,30
'2022/8/12/10:55.25',25.456,0.001,0.025,31
'2022/8/12/10:55.26',25.455,0.003,0.076,32
'2022/8/12/10:55.27',25.455,0.001,0.025,33
'2022/8/12/10:55.28',25.454,0.001,0.025,34
'2022/8/12/10:55.29',25.455,0,0,35
'2022/8/12/10:55.30',25.453,0.003,0.076,36
'2022/8/12/10:55.31',25.455,0.001,0.025,37
'2022/8/12/10:55.32',25.456,0.003,0.076,38
'2022/8/12/10:55.33',25.455,0.001,0.025,39
'2022/8/12/10:55.34',25.454,0.003,0.076,40
'2022/8/12/10:55.35',25.456,0.001,0.025,41
'2022/8/12/10:55.36',25.455,0.001,0.025,42
'2022/8/12/10:55.37',25.456,0.001,0.025,43
'2022/8/12/10:55.38',25.454,0,0,44
'2022/8/12/10:55.39',25.456,0.008,0.204,45
'2022/8/12/10:55.40',25.456,0.006,0.153,46
'2022/8/12/10:55.41',25.454,0.009,0.229,47
'2022/8/12/10:55.42',25.455,0.01,0.255,48
'2022/8/12/10:55.43',25.454,0.011,0.28,49
'2022/8/12/10:55.44',25.454,0.01,0.255,50
'2022/8/12/10:55.45',25.455,0.013,0.331,51
'2022/8/12/10:55.46',25.454,0.013,0.331,52
'2022/8/12/10:55.48',25.456,0.013,0.331,53
'2022/8/12/10:55.49',25.455,0.011,0.28,54
'2022/8/12/10:55.50',25.454,0.013,0.331,55
'2022/8/12/10:55.51',25.457,0.01,0.255,56
'2022/8/12/10:55.52',25.456,0.011,0.28,57
'2022/8/12/10:55.53',25.457,0.01,0.255,58
'2022/8/12/10:55.54',25.459,0.013,0.331,59
'2022/8/12/10:55.55',25.455,0.013,0.331,60
