t,,Vout,Iout,Pout
1,'2022/8/12/11:25.1',25.483,0.004,0.102
2,'2022/8/12/11:25.2',25.484,0.003,0.076
3,'2022/8/12/11:25.3',25.484,0.003,0.076
4,'2022/8/12/11:25.4',25.484,0.001,0.025
5,'2022/8/12/11:25.5',25.484,0.001,0.025
6,'2022/8/12/11:25.6',25.483,0.001,0.025
7,'2022/8/12/11:25.7',25.483,0.001,0.025
8,'2022/8/12/11:25.8',25.483,0.004,0.102
9,'2022/8/12/11:25.9',25.481,0.003,0.076
10,'2022/8/12/11:25.10',25.483,0.003,0.076
11,'2022/8/12/11:25.11',25.484,0.003,0.076
12,'2022/8/12/11:25.12',25.484,0.003,0.076
13,'2022/8/12/11:25.13',25.483,0.003,0.076
14,'2022/8/12/11:25.14',25.481,0.001,0.025
15,'2022/8/12/11:25.15',25.485,0.003,0.076
16,'2022/8/12/11:25.16',25.485,0.001,0.025
17,'2022/8/12/11:25.17',25.484,0.001,0.025
18,'2022/8/12/11:25.18',25.481,0.001,0.025
19,'2022/8/12/11:25.19',25.483,0.003,0.076
20,'2022/8/12/11:25.20',25.483,0,0
21,'2022/8/12/11:25.22',25.484,0.003,0.076
22,'2022/8/12/11:25.23',25.483,0.003,0.076
23,'2022/8/12/11:25.24',25.484,0.004,0.102
24,'2022/8/12/11:25.25',25.484,0.003,0.076
25,'2022/8/12/11:25.26',25.486,0.001,0.025
26,'2022/8/12/11:25.27',25.484,0.001,0.025
27,'2022/8/12/11:25.28',25.484,0.003,0.076
28,'2022/8/12/11:25.29',25.484,0.003,0.076
29,'2022/8/12/11:25.30',25.484,0.003,0.076
30,'2022/8/12/11:25.31',25.485,0.003,0.076
31,'2022/8/12/11:25.32',25.483,0.001,0.025
32,'2022/8/12/11:25.33',25.483,0.001,0.025
33,'2022/8/12/11:25.34',25.484,0.003,0.076
34,'2022/8/12/11:25.35',25.484,0.001,0.025
35,'2022/8/12/11:25.36',25.485,0.003,0.076
36,'2022/8/12/11:25.37',25.485,0.001,0.025
37,'2022/8/12/11:25.38',25.485,0.001,0.025
38,'2022/8/12/11:25.39',25.484,0.001,0.025
39,'2022/8/12/11:25.40',25.483,0.001,0.025
40,'2022/8/12/11:25.41',25.484,0.003,0.076
41,'2022/8/12/11:25.42',25.485,0.021,0.535
42,'2022/8/12/11:25.43',25.484,0.024,0.612
43,'2022/8/12/11:25.44',25.489,0.026,0.663
44,'2022/8/12/11:25.45',25.488,0.029,0.739
45,'2022/8/12/11:25.46',25.486,0.033,0.841
46,'2022/8/12/11:25.47',25.488,0.039,0.994
47,'2022/8/12/11:25.48',25.488,0.038,0.969
48,'2022/8/12/11:25.49',25.489,0.045,1.147
49,'2022/8/12/11:25.50',25.489,0.055,1.402
50,'2022/8/12/11:25.51',25.495,0.069,1.759
51,'2022/8/12/11:25.52',25.496,0.094,2.397
52,'2022/8/12/11:25.53',25.5,0.129,3.29
53,'2022/8/12/11:25.54',25.506,0.206,5.254
54,'2022/8/12/11:25.56',25.527,0.541,13.81
55,'2022/8/12/11:25.57',25.555,1.104,28.213
56,'2022/8/12/11:25.58',25.567,0.439,11.224
57,'2022/8/12/11:25.59',25.558,0.168,4.294
58,'2022/8/12/11:26.0',25.552,0.39,9.965
59,'2022/8/12/11:26.1',25.562,0.365,9.33
60,'2022/8/12/11:26.2',25.599,0.891,22.809
