DATE,Vout,Iout ,Pout
'2022/8/12/10:55.41',25.454,0.009,0.229
'2022/8/12/10:55.42',25.455,0.01,0.255
'2022/8/12/10:55.43',25.454,0.011,0.28
'2022/8/12/10:55.44',25.454,0.01,0.255
'2022/8/12/10:55.45',25.455,0.013,0.331
'2022/8/12/10:55.46',25.454,0.013,0.331
'2022/8/12/10:55.48',25.456,0.013,0.331
'2022/8/12/10:55.49',25.455,0.011,0.28
'2022/8/12/10:55.50',25.454,0.013,0.331
'2022/8/12/10:55.51',25.457,0.01,0.255
'2022/8/12/10:55.52',25.456,0.011,0.28
'2022/8/12/10:55.53',25.457,0.01,0.255
'2022/8/12/10:55.54',25.459,0.013,0.331
'2022/8/12/10:55.55',25.455,0.013,0.331
'2022/8/12/10:55.56',25.455,0.011,0.28
'2022/8/12/10:55.57',25.456,0.011,0.28
'2022/8/12/10:55.58',25.457,0.01,0.255
'2022/8/12/10:55.59',25.455,0.01,0.255
'2022/8/12/10:56.0',25.459,0.011,0.28
'2022/8/12/10:56.1',25.455,0.011,0.28
'2022/8/12/10:56.2',25.456,0.011,0.28
'2022/8/12/10:56.3',25.457,0.011,0.28
'2022/8/12/10:56.4',25.459,0.011,0.28
'2022/8/12/10:56.5',25.457,0.014,0.356
'2022/8/12/10:56.6',25.457,0.014,0.356
'2022/8/12/10:56.7',25.459,0.015,0.382
'2022/8/12/10:56.8',25.459,0.015,0.382
'2022/8/12/10:56.9',25.457,0.015,0.382
'2022/8/12/10:56.10',25.459,0.014,0.356
'2022/8/12/10:56.11',25.46,0.013,0.331
'2022/8/12/10:56.12',25.461,0.013,0.331
'2022/8/12/10:56.13',25.457,0.013,0.331
'2022/8/12/10:56.14',25.459,0.013,0.331
'2022/8/12/10:56.15',25.461,0.01,0.255
'2022/8/12/10:56.16',25.461,0.013,0.331
'2022/8/12/10:56.17',25.462,0.011,0.28
'2022/8/12/10:56.18',25.459,0.011,0.28
'2022/8/12/10:56.19',25.459,0.01,0.255
'2022/8/12/10:56.20',25.459,0.013,0.331
'2022/8/12/10:56.22',25.461,0.013,0.331
'2022/8/12/10:56.23',25.459,0.011,0.28
'2022/8/12/10:56.24',25.46,0.015,0.382
'2022/8/12/10:56.25',25.46,0.013,0.331
'2022/8/12/10:56.26',25.46,0.015,0.382
'2022/8/12/10:56.27',25.46,0.018,0.458
'2022/8/12/10:56.28',25.46,0.018,0.458
'2022/8/12/10:56.29',25.464,0.015,0.382
'2022/8/12/10:56.30',25.462,0.016,0.407
'2022/8/12/10:56.31',25.464,0.031,0.789
'2022/8/12/10:56.32',25.462,0.07,1.782
'2022/8/12/10:56.33',25.475,0.306,7.795
'2022/8/12/10:56.34',25.495,0.589,15.017
'2022/8/12/10:56.35',25.536,0.785,20.046
'2022/8/12/10:56.36',25.54,0.593,15.145
'2022/8/12/10:56.37',25.535,0.303,7.737
'2022/8/12/10:56.38',25.525,0.069,1.761
'2022/8/12/10:56.39',25.516,0.301,7.68
'2022/8/12/10:56.40',25.529,0.298,7.608
'2022/8/12/10:56.41',25.558,0.588,15.028
'2022/8/12/10:56.42',25.55,0.29,7.409
'2022/8/12/10:56.43',25.532,0.069,1.762
'2022/8/12/10:56.44',25.544,0.285,7.28
'2022/8/12/10:56.45',25.587,0.584,14.943
'2022/8/12/10:56.46',25.554,0.288,7.36
'2022/8/12/10:56.47',25.544,0.068,1.737
'2022/8/12/10:56.48',25.55,0.28,7.154
'2022/8/12/10:56.49',25.581,0.559,14.3
'2022/8/12/10:56.50',25.59,0.768,19.653
'2022/8/12/10:56.51',25.606,0.568,14.544
'2022/8/12/10:56.52',25.585,0.265,6.78
'2022/8/12/10:56.53',25.615,0.563,14.421
'2022/8/12/10:56.54',25.624,0.776,19.884
'2022/8/12/10:56.56',25.633,0.564,14.457
'2022/8/12/10:56.57',25.604,0.261,6.683
'2022/8/12/10:56.58',25.605,0.559,14.313
'2022/8/12/10:56.59',25.671,0.764,19.613
'2022/8/12/10:57.0',25.637,0.559,14.331
'2022/8/12/10:57.1',25.622,0.249,6.38
'2022/8/12/10:57.2',25.605,0.061,1.562
'2022/8/12/10:57.3',25.606,0.246,6.299
'2022/8/12/10:57.4',25.616,0.554,14.191
'2022/8/12/10:57.5',25.62,0.248,6.354
'2022/8/12/10:57.6',25.604,0.061,1.562
'2022/8/12/10:57.7',25.601,0.244,6.247
'2022/8/12/10:57.8',25.631,0.556,14.251
'2022/8/12/10:57.9',25.64,0.77,19.743
'2022/8/12/10:57.10',25.645,0.566,14.515
'2022/8/12/10:57.11',25.635,0.073,1.871
'2022/8/12/10:57.12',25.614,0.011,0.282
'2022/8/12/10:57.13',25.605,0.009,0.23
'2022/8/12/10:57.14',25.599,0.009,0.23
'2022/8/12/10:57.15',25.593,0.009,0.23
'2022/8/12/10:57.16',25.586,0.003,0.077
'2022/8/12/10:57.17',25.584,0,0
'2022/8/12/10:57.18',25.576,0.003,0.077
'2022/8/12/10:57.19',25.576,0.003,0.077
